Date,Open,High,Low,Close,Adj Close,Volume
2023-07-14,3920.000000,3925.000000,3760.000000,3805.000000,3805.000000,2890000
2023-07-18,3880.000000,4135.000000,3830.000000,3960.000000,3960.000000,6318400
2023-07-19,4015.000000,4065.000000,3870.000000,3935.000000,3935.000000,3039000
2023-07-20,3940.000000,3945.000000,3820.000000,3820.000000,3820.000000,2029600
2023-07-21,3770.000000,3775.000000,3675.000000,3735.000000,3735.000000,2172600
2023-07-24,3750.000000,3795.000000,3640.000000,3655.000000,3655.000000,2036200
2023-07-25,3655.000000,3760.000000,3615.000000,3695.000000,3695.000000,1624400
2023-07-26,3695.000000,3720.000000,3590.000000,3685.000000,3685.000000,1547800
2023-07-27,3670.000000,3770.000000,3620.000000,3650.000000,3650.000000,1627600
2023-07-28,3510.000000,3655.000000,3470.000000,3540.000000,3540.000000,2218400
2023-07-31,3545.000000,3565.000000,3465.000000,3535.000000,3535.000000,1431900
2023-08-01,3555.000000,3610.000000,3475.000000,3485.000000,3485.000000,867600
2023-08-02,3415.000000,3430.000000,3275.000000,3290.000000,3290.000000,2157300
2023-08-03,3210.000000,3320.000000,3140.000000,3285.000000,3285.000000,1913100
2023-08-04,3270.000000,3395.000000,3240.000000,3340.000000,3340.000000,851800
2023-08-07,3280.000000,3330.000000,3230.000000,3325.000000,3325.000000,618800
2023-08-08,3335.000000,3335.000000,3180.000000,3200.000000,3200.000000,1001800
2023-08-09,3195.000000,3265.000000,3185.000000,3250.000000,3250.000000,655000
2023-08-10,3180.000000,3285.000000,3140.000000,3275.000000,3275.000000,849900
2023-08-14,3205.000000,3275.000000,3170.000000,3205.000000,3205.000000,758800
2023-08-15,3190.000000,3205.000000,3070.000000,3105.000000,3105.000000,1254700
2023-08-16,3035.000000,3065.000000,3000.000000,3010.000000,3010.000000,1314800
2023-08-17,2989.000000,3110.000000,2972.000000,3080.000000,3080.000000,900300
2023-08-18,3025.000000,3145.000000,3000.000000,3135.000000,3135.000000,1012600
2023-08-21,3135.000000,3275.000000,3060.000000,3245.000000,3245.000000,1341300
2023-08-22,3285.000000,3285.000000,3165.000000,3215.000000,3215.000000,977000
2023-08-23,3210.000000,3230.000000,3130.000000,3145.000000,3145.000000,768700
2023-08-24,3185.000000,3230.000000,3105.000000,3170.000000,3170.000000,782000
2023-08-25,3120.000000,3305.000000,3120.000000,3285.000000,3285.000000,1036100
2023-08-28,3330.000000,3370.000000,3240.000000,3260.000000,3260.000000,1285000
2023-08-29,3280.000000,3435.000000,3270.000000,3395.000000,3395.000000,1765300
2023-08-30,3460.000000,3525.000000,3385.000000,3410.000000,3410.000000,1474200
2023-08-31,3430.000000,3485.000000,3355.000000,3385.000000,3385.000000,1360400
2023-09-01,3410.000000,3565.000000,3405.000000,3540.000000,3540.000000,1549600
2023-09-04,3590.000000,3690.000000,3525.000000,3680.000000,3680.000000,1673300
2023-09-05,3695.000000,3740.000000,3600.000000,3705.000000,3705.000000,1303400
2023-09-06,3695.000000,3820.000000,3695.000000,3785.000000,3785.000000,1367100
2023-09-07,3790.000000,3790.000000,3640.000000,3655.000000,3655.000000,1381400
2023-09-08,3585.000000,3610.000000,3465.000000,3475.000000,3475.000000,1720000
2023-09-11,3500.000000,3520.000000,3405.000000,3420.000000,3420.000000,893100
2023-09-12,3535.000000,3580.000000,3485.000000,3515.000000,3515.000000,1048000
2023-09-13,3475.000000,3510.000000,3410.000000,3510.000000,3510.000000,856200
2023-09-14,3555.000000,3560.000000,3430.000000,3455.000000,3455.000000,1443500
2023-09-15,3995.000000,4150.000000,3830.000000,3875.000000,3875.000000,9726000
2023-09-19,3910.000000,3995.000000,3730.000000,3735.000000,3735.000000,3694700
2023-09-20,3680.000000,3820.000000,3620.000000,3620.000000,3620.000000,2169200
2023-09-21,3585.000000,3690.000000,3480.000000,3680.000000,3680.000000,2642000
2023-09-22,3610.000000,3835.000000,3575.000000,3780.000000,3780.000000,2172300
2023-09-25,3795.000000,3795.000000,3635.000000,3735.000000,3735.000000,1886700
2023-09-26,3710.000000,3845.000000,3580.000000,3585.000000,3585.000000,2059300
2023-09-27,3570.000000,3680.000000,3530.000000,3570.000000,3570.000000,1400500
2023-09-28,3580.000000,3585.000000,3415.000000,3420.000000,3420.000000,1770100
2023-09-29,3445.000000,3545.000000,3395.000000,3515.000000,3515.000000,1411800
2023-10-02,3565.000000,3610.000000,3330.000000,3330.000000,3330.000000,2382600
2023-10-03,3300.000000,3320.000000,3140.000000,3160.000000,3160.000000,2984400
2023-10-04,3090.000000,3150.000000,3050.000000,3055.000000,3055.000000,2268900
2023-10-05,3120.000000,3360.000000,3085.000000,3360.000000,3360.000000,2251300
2023-10-06,3240.000000,3390.000000,3205.000000,3370.000000,3370.000000,2079800
2023-10-10,3405.000000,3455.000000,3355.000000,3395.000000,3395.000000,1571700
2023-10-11,3435.000000,3540.000000,3420.000000,3515.000000,3515.000000,1459800
2023-10-12,3570.000000,3615.000000,3515.000000,3600.000000,3600.000000,1540100
2023-10-13,3530.000000,3530.000000,3340.000000,3370.000000,3370.000000,2040200
2023-10-16,3300.000000,3470.000000,3280.000000,3325.000000,3325.000000,2106400
2023-10-17,3415.000000,3470.000000,3350.000000,3380.000000,3380.000000,1569500
2023-10-18,3400.000000,3515.000000,3310.000000,3510.000000,3510.000000,1833600
2023-10-19,3445.000000,3550.000000,3440.000000,3500.000000,3500.000000,1178800
2023-10-20,3465.000000,3530.000000,3405.000000,3420.000000,3420.000000,1171900
2023-10-23,3395.000000,3450.000000,3285.000000,3305.000000,3305.000000,1602900
2023-10-24,3320.000000,3440.000000,3250.000000,3435.000000,3435.000000,1940200
2023-10-25,3455.000000,3465.000000,3315.000000,3340.000000,3340.000000,1769100
2023-10-26,3280.000000,3285.000000,3180.000000,3210.000000,3210.000000,1572900
2023-10-27,3220.000000,3245.000000,3155.000000,3190.000000,3190.000000,1036500
2023-10-30,3205.000000,3330.000000,3200.000000,3295.000000,3295.000000,1281800
2023-10-31,3340.000000,3500.000000,3310.000000,3490.000000,3490.000000,1775400
2023-11-01,3505.000000,3565.000000,3450.000000,3555.000000,3555.000000,1482300
2023-11-02,3595.000000,3630.000000,3505.000000,3575.000000,3575.000000,1512800
2023-11-06,3650.000000,3745.000000,3630.000000,3710.000000,3710.000000,1705600
2023-11-07,3645.000000,3675.000000,3590.000000,3605.000000,3605.000000,967500
2023-11-08,3660.000000,3685.000000,3575.000000,3630.000000,3630.000000,1177500
2023-11-09,3615.000000,3705.000000,3565.000000,3700.000000,3700.000000,1128200
2023-11-10,3575.000000,3650.000000,3515.000000,3625.000000,3625.000000,1104200
2023-11-13,3655.000000,3715.000000,3595.000000,3625.000000,3625.000000,1121800
2023-11-14,3685.000000,3685.000000,3530.000000,3545.000000,3545.000000,1065900
2023-11-15,3680.000000,3680.000000,3575.000000,3645.000000,3645.000000,1566900
2023-11-16,3600.000000,3610.000000,3510.000000,3565.000000,3565.000000,1549100
